"Treatment","Year","wshed","CARBac","BTYW10","GCKI10","HEWA10","OCWA10","RUHU10","WIFL10","WIWA10","MAMU10"
"Triad-I",5,"w10",1.31,-0.0812999999999997,0.1504,0.2608,-0.1843,-0.1264,-0.8946,0.2988,0.0023
"Triad-I",10,"w10",3.19,2.1259,4.102,4.5238,1.3486,0.2677,-0.4413,4.3199,0.0427
"Triad-I",15,"w10",5.5,4.3389,8.2941,8.8311,2.4152,0.7111,-0.3151,8.4324,0.0845
"Triad-I",20,"w10",7.07,5.8569,12.2896,12.7704,3.355,1.1304,-0.1621,12.1123,0.1274
"Triad-I",25,"w10",7.93,7.1766,16.305,16.6335,4.3745,1.6465,0.5015,15.6986,0.1702
"Triad-I",30,"w10",7.08,8.1122,19.978,19.8253,5.4875,2.1702,1.0536,19.1647,0.2141
"Triad-I",35,"w10",7.46,9.2353,23.733,23.0726,7.2012,2.8347,2.5966,23.0026,0.2569
"Triad-I",40,"w10",9.83,10.7508,27.2507,26.4288,9.0144,3.3213,3.264,27.6018,0.2988
"Triad-I",45,"w10",9.78,12.66,30.782,29.5678,10.6689,3.8504,3.6879,31.6774,0.3415
"Triad-I",50,"w10",12.94,14.8651,34.5168,32.9302,12.4805,4.507,5.0173,35.9138,0.385
"Triad-I",55,"w10",13.51,16.9817,38.2602,36.6476,14.6681,4.9975,5.7171,40.4129,0.4255
"Triad-I",60,"w10",16.75,19.4111,42.2239,40.7034,16.4411,5.4335,5.9427,44.6373,0.4667
"Triad-I",65,"w10",18.16,21.9714,46.2202,44.8859,17.9077,5.9107,6.0136,48.7036,0.5068
"Triad-I",70,"w10",18.16,24.2786,50.2012,48.8165,19.1933,6.5058,6.2088,52.6524,0.5474
"Triad-I",75,"w10",21.89,26.3397,53.9469,52.6565,20.4439,6.9988,6.5613,56.5911,0.5888
"Triad-I",80,"w10",25,28.0626,57.9277,56.5984,21.4811,7.4209,6.6999,60.0348,0.6311
"Triad-I",85,"w10",23.04,29.7165,61.8642,60.3968,22.3587,7.883,6.8529,63.21,0.6743
